,Feature,Importance
481,Quetiapine,13.375550571787004
346,Ergocalciferol,9.560524448083532
202,Lantus Solostar,9.061819952654709
44,reason_for_admission_Respiratory distress [R06.0],5.395518279028685
288,Diovan,4.293876385427514
359,Ventolin,3.9258903174957283
83,Metformin,3.638736627588228
14,Asthma,3.29542108868507
6,admission_disposition,2.710343646344293
127,Escitalopram,2.5756867903332226
196,Coversyl,2.471464489008997
126,Acetaminophen Tab,1.7584717426359737
157,Flomax Cr,1.6458028671339346
246,Lantus,1.6163518487505386
75,Senokot,1.5236891405520598
465,Phenylephrine Hydrochloride,1.5196744264934565
171,Lipitor,1.4119303434323462
43,"reason_for_admission_Pneumonia due to COVID-19 virus [U07.1, J12.8]",1.1702148705544537
79,Ascorbic Acid Tab,1.0914991381038723
188,Ezetrol,0.8868186301683071
80,Bisoprolol,0.8458712954081596
5,previous_er_visit_within_14_days,0.8052212377120208
130,Eliquis,0.6914662044367752
208,Prednisone,0.6557825693448701
2,height,0.5809235443171061
35,reason_for_admission_Fever [R50.9],0.5278862835218213
4,smoking_history,0.38916997091010214
388,Janumet Xr,0.3848738955873138
9,Diabetes,0.3499072342083832
12,Kidney disease,0.30479524151295484
1,sex,0.24225737861653235
47,reason_for_admission_Shortness of breath [R06.0],0.18946194794726023
74,Sinemet,0.17803219671306159
133,Levothyroxine,0.17149556870957017
72,Lasix Tabs,0.14238970261711695
274,Ventolin Hfa,0.10853031129776836
0,age,0.017029099220891457
716,Finasteride,0.0
715,Glucobay,0.0
497,Maxidex,0.0
498,Risedronate,0.0
499,Frisium Tab,0.0
737,Vesicare,0.0
500,Tiazac,0.0
501,Magnesium Bisglycinate,0.0
502,Methylprednisolone Acetate Sus,0.0
503,Vitamin C,0.0
504,Ventolin Nebules Pf,0.0
505,Prevacid,0.0
506,Remeron Rd,0.0
507,Pegalax,0.0
508,Venlafaxine,0.0
509,Topiramate,0.0
510,Oxybutynin,0.0
511,Olanzapine,0.0
512,Humalog Mix (Cartridge),0.0
513,Ativan,0.0
514,Clotrimaderm,0.0
496,Lansoprazole,0.0
495,Tylenol Extra Strength Caplets,0.0
494,Mydriacyl,0.0
484,Telmisartan,0.0
476,Statex Tab,0.0
477,Axid,0.0
478,Prochlorperazine,0.0
479,Anusol Plus Ointment,0.0
480,Divalproex,0.0
739,Quinine Sulfate,0.0
482,Fluticasone,0.0
483,Zyprexa,0.0
485,Epival,0.0
493,Mydfrin,0.0
486,Pepcid Tab,0.0
738,Zaxine,0.0
487,Detrol La,0.0
488,Rocaltrol,0.0
489,Depakene,0.0
490,Flamazine,0.0
491,Prolensa,0.0
492,Repatha,0.0
515,Xigduo,0.0
516,Mavik,0.0
517,Levocarbidopa,0.0
548,Nifedipine,0.0
540,Cilazapril,0.0
541,Epipen,0.0
542,Temodal,0.0
543,Salbutamol,0.0
544,Atrovent,0.0
545,Cyclobenzaprine,0.0
546,Calcium Liquid,0.0
547,Irbesartanhctz,0.0
549,Sandoz Perindopril Erbumine,0.0
538,Aspirin,0.0
550,Seroquel Xr,0.0
551,Canesten Vaginal Inserts,0.0
552,Motilium,0.0
553,Advair,0.0
554,Isordil,0.0
555,Zithromax,0.0
556,Toradol,0.0
557,Zinc Gluconate,0.0
539,Rivanase Aqnasal Spray Metered Dose,0.0
537,Sectral,0.0
518,Midodrine,0.0
736,Immunity Advance,0.0
519,Zovirax,0.0
520,Cozaar,0.0
521,Rapaflo,0.0
522,Ketoderm Cream,0.0
523,Timoptic,0.0
524,Travatan Z,0.0
525,Orencia,0.0
526,Mucositis Mouthwash,0.0
527,Zofran,0.0
536,Olmetec Plus,0.0
528,Pradaxa,0.0
529,Enablex,0.0
530,Ebixa,0.0
531,Tylenol Regular Strength,0.0
532,Tamiflu,0.0
533,Magnesium Oxide Tab,0.0
534,Potassium Citrate,0.0
535,Selenium Tab,0.0
475,Budesonide,0.0
474,Invokana,0.0
473,Toujeo Solostar,0.0
419,Emend Tripack,0.0
412,Dilantin,0.0
413,Atarax Cap,0.0
414,Hydrea Cap,0.0
415,Coreg,0.0
416,Apresoline,0.0
417,Apidra,0.0
742,Turmeric,0.0
418,Tylenol With Codeine No,0.0
420,Benadryl Capsules,0.0
410,Chlorthalidone,0.0
421,Dilaudid,0.0
422,Zofran Tab,0.0
423,Atrovent Nasal Aerosol Aem,0.0
424,Vitamin D,0.0
425,Tylenol,0.0
426,Peglyte Solution,0.0
427,Potassium Chloride,0.0
428,Xarelto,0.0
411,Celebrex,0.0
409,Caduet,0.0
