"NonEnglishWord","Count"
"bph",25
"cpap",13
"sp",7
"pci",5
"gi",4
"ca",3
"ct",3
"dec",3
"hx",3
"tb",3
"turp",3
"aki",2
"esblproducing",2
"esrd",2
"hfpef",2
"iga",2
"lv",2
"lvef",2
"mgus",2
"mri",2
"non",2
"nov",2
"piv",2
"pmibi",2
"sbo",2
"stemi",2
"af",1
"assymmetric",1
"avr",1
"bilat",1
"birthoggdube",1
"bmi",1
"bms",1
"bppv",1
"bps",1
"bpsd",1
"brampton",1
"cardiolite",1
"cm",1
"cmp",1
"cppd",1
"cscope",1
"cw",1
"dat",1
"dced",1
"def",1
"dvts",1
"dx",1
"ebv",1
"epo",1
"ercp",1
"esbl",1
"foley",1
"generatior",1
"gp",1
"hgac",1
"hla",1
"htn",1
"humber",1
"hydrea",1
"ibs",1
"ica",1
"ifn",1
"igm",1
"inhrif",1
"jak",1
"kenalog",1
"keppra",1
"lbbb",1
"lhin",1
"mca",1
"mci",1
"mcv",1
"mets",1
"modsevere",1
"mrsa",1
"mvc",1
"mvr",1
"niddy",1
"nonst",1
"nsaid",1
"nsaids",1
"nstemi",1
"oct",1
"ogd",1
"orif",1
"osaon",1
"pckd",1
"peakmean",1
"psg",1
"ptsd",1
"pvd",1
"rca",1
"rll",1
"rul",1
"sah",1
"sbrt",1
"sll",1
"srs",1
"svg",1
"svr",1
"tahbso",1
"tavi",1
"tha",1
"tkas",1
"tolosa",1
"tte",1
"ttp",1
"turbt",1
"ugib",1
"uip",1
"veral",1
"vns",1
"vte",1
